EVENT,TYPE,HOURS
A17.070,ICW,3
A17.120,ICW,2
A17.130,ICW,3
,,
,,
,,
TRAINING HOURS,,8
WEEK THIRTY FOUR,,
DAY 166,,
EVENT,TYPE,HOURS
A17.210,PT,4
A17.220,CRT,0.5
A18.010,CAI,0.5
TRAINING HOURS,,5
WEEK THIRTY FIVE,,
DAY 171,,
EVENT,TYPE,HOURS
A18.030,MSN PLN,3
A18.040,Pre-NATS,3
, NATOPS,
,,
,,
TRAINING HOURS,,6

DAY 2,,
EVENT,TYPE,HOURS
A1.010,LAB,8
Squadron INDOC,,
,,
,,
TRAINING HOURS,,8
,,
DAY 7,,
EVENT,TYPE,HOURS
A1.080,CAI,2.5
A1.090,CAI,2.5
A1.120,CAI,0.5
A1.130,IGR,3
TRAINING HOURS,,8.5
,,
DAY 12,,
EVENT,TYPE,HOURS
A2.150,ICW,2
A2.160,ICW,2
A2.170,SAC C,4
,,
TRAINING HOURS,,8
,,
DAY 17,,
EVENT,TYPE,HOURS
A3.010,CAI,2
A3.020,IGR,3
,,
TRAINING HOURS,,5
,,
DAY 22,,
EVENT,TYPE,HOURS
A3.100,SAC H,6
,,
,,
,,
TRAINING HOURS,,6
,,
DAY 27,,
EVENT,TYPE,HOURS
A4.130,MSN PLN,3
A4.140,AC FAM 0,5
,,
A5.220,MSN PLN,
A5.230,NATS 0,
TRAINING HOURS,,8
,,
DAY 32,,
EVENT,TYPE,HOURS
A5.020,CAI,2
A5.030,ICW,2
A5.040,ICW,2
A5.050,ICW,2
,,
,,
TRAINING HOURS,,8
,,
DAY 37,,
EVENT,TYPE,HOURS
A5.240,MSN PLN,3
A5.250,NATS SAR 1,3
,,
,,
,,
,,
,,
TRAINING HOURS,,6
,,
DAY 42,,
EVENT,TYPE,HOURS
A5.360,MSN PLN,3
A5.370,AC SAR 3/3N,5
,,
,,
TRAINING HOURS,,8
,,
DAY 47,,
EVENT,TYPE,HOURS
A5.490,CPR LAB,8
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 52,,
EVENT,TYPE,HOURS
A6.070,ICW,2
A6.080,SAC J,4
A6.130,ICW,2
,,
TRAINING HOURS,,8
,,
DAY 57,,
EVENT,TYPE,HOURS
A6.180,MSN PLN,3
A6.190,AC UTIL 3,5
,VERTREP,
,,
TRAINING HOURS,,8
,,
DAY 62,,
EVENT,TYPE,HOURS
A14.100,MSN PLN,3
A14.110,DIP SIM 2,4
,,
,,
,,
TRAINING HOURS,,7
,,
DAY 67,,
EVENT,TYPE,HOURS
A7.120,IGR,3
A7.130,ICW ,3
A7.140,PTT 1,2
TRAINING HOURS,,8
,,
DAY 72,,
EVENT,TYPE,HOURS
A7.230,MSN PLN,3
A7.240,WTT 3,4
,,
,,
TRAINING HOURS,,7
,,
DAY 77,,
EVENT,TYPE,HOURS
A8.010,ICW,2
A8.020,CAI,2
A8.030,ICW,2
A8.040,ICW,2
,,
TRAINING HOURS,,8
,,
DAY 82,,
EVENT,TYPE,HOURS
A8.220,MSN PLN,3
A8.230,WTT 6,4
,,
,,
,,
TRAINING HOURS,,7
,,
DAY 87,,
EVENT,TYPE,HOURS
A9.030,CAI,1
