,,
,,
,,
TRAINING HOURS,,0
,,
DAY 170,,
EVENT,TYPE,HOURS
A18.080,MSN PLN,3
A18.090,WTT 29,4
,,
TRAINING HOURS,,7
,,
DAY 175,,
EVENT,TYPE,HOURS
A18.160,CRT,0.5
A19.010,ICW,2
A19.020,CAI,0.5
A19.030,LAB,2
A19.040,CRT,1
TRAINING HOURS,,6
